"yearID","lgID","salary","POS","GS","PO","A","E","DP","AB","R","H","X2B","X3B","HR","RBI","BB","SO","IBB","HBP","SH","SF","GIDP"
2016,"NL",509501,"2B",6,16,15,2,4,226,26,50,8,4,3,18,25,48,1,5,4,1,6
2016,"NL",509501,"SS",38,53,122,6,21,226,26,50,8,4,3,18,25,48,1,5,4,1,6
2016,"NL",509501,"3B",2,2,4,1,2,226,26,50,8,4,3,18,25,48,1,5,4,1,6
2015,"AL",507701,"P",1,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
2013,"AL",540001,"1B",4,27,5,1,3,141,11,28,6,2,3,14,10,44,1,3,2,1,5
2013,"AL",540001,"3B",30,15,54,2,7,141,11,28,6,2,3,14,10,44,1,3,2,1,5
2013,"AL",540001,"2B",7,17,20,1,5,141,11,28,6,2,3,14,10,44,1,3,2,1,5
1997,"AL",151001,"P",7,7,10,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
1998,"NL",210001,"P",6,1,5,2,1,8,1,4,2,1,1,2,1,1,1,1,2,1,2
2013,"NL",490001,"1B",64,599,51,3,71,297,47,85,15,1,18,52,24,81,1,1,1,1,10
2014,"NL",516001,"1B",133,1116,81,10,112,528,56,153,35,6,16,69,27,115,6,4,1,8,10
2015,"NL",534001,"1B",43,322,33,4,31,176,15,43,10,1,6,25,11,42,2,1,1,2,2
2016,"NL",1650001,"1B",70,618,72,8,63,298,38,75,19,1,17,55,26,82,2,3,1,4,6
2005,"NL",331001,"P",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,"NL",414801,"P",1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,"NL",1000001,"P",1,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,"NL",2535001,"P",1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,"AL",4400001,"P",1,6,13,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,"NL",5000001,"P",1,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,"NL",7000001,"P",1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005,"AL",316001,"SS",123,195,327,27,69,482,69,124,28,6,9,64,51,58,2,4,4,9,6
2006,"AL",343001,"SS",32,42,89,11,19,252,32,56,15,2,4,29,23,42,1,2,4,4,6
2006,"AL",343001,"2B",36,60,99,3,19,252,32,56,15,2,4,29,23,42,1,2,4,4,6
1995,"NL",109001,"P",1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1996,"NL",113001,"P",1,10,12,1,2,7,1,1,1,1,1,1,2,4,1,1,1,1,1
1997,"NL",215001,"P",1,8,9,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1
1998,"NL",295001,"P",1,5,14,4,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
1999,"NL",736001,"P",1,9,7,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1
2000,"NL",1400001,"P",1,15,22,3,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1
2001,"NL",2600001,"P",23,14,32,2,3,40,3,3,2,1,1,2,4,20,1,1,6,2,1
2002,"NL",2700001,"P",20,12,25,5,2,26,1,3,1,1,1,2,4,14,1,1,7,1,2
2003,"NL",2900001,"P",1,11,10,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1
2004,"AL",1700001,"P",1,7,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005,"NL",500001,"P",1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1996,"AL",109001,"P",13,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1997,"AL",157501,"P",13,3,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
